Mock_1_rawcount	Mock_2_rawcount	Mock_3_rawcount	NT_1_rawcount	NT_2_rawcount	NT_3_rawcount	T_1_rawcount	T_2_rawcount	T_3_rawcount
Mock_1_rawcount	1	0.947656856117699	0.976740178197665	0.0146352484292877	0.0124173780077291	0.0116860675398886	0.0541787133442627	0.0285011550034163	0.027968009333209
Mock_2_rawcount	0.947656856117699	1	0.882397485289338	0.0160381225124005	0.0132140450474939	0.01289679423075	0.0557640342299089	0.0297165977562175	0.0292530158005775
Mock_3_rawcount	0.976740178197665	0.882397485289338	1	0.0131223127256691	0.011317592007964	0.0104407287582206	0.0498366855313755	0.0260220697050833	0.0255351868864911
NT_1_rawcount	0.0146352484292877	0.0160381225124005	0.0131223127256691	1	0.999384447778894	0.999898929782292	0.976485531651248	0.969033606295388	0.967022294816044
NT_2_rawcount	0.0124173780077291	0.0132140450474939	0.011317592007964	0.999384447778894	1	0.999563030151906	0.982065132223791	0.975958854972075	0.974015779357127
NT_3_rawcount	0.0116860675398886	0.01289679423075	0.0104407287582206	0.999898929782292	0.999563030151906	1	0.977685428828456	0.970545197767436	0.968575968146457
T_1_rawcount	0.0541787133442627	0.0557640342299089	0.0498366855313755	0.976485531651248	0.982065132223791	0.977685428828456	1	0.998777113408626	0.998501428012078
T_2_rawcount	0.0285011550034163	0.0297165977562175	0.0260220697050833	0.969033606295388	0.975958854972075	0.970545197767436	0.998777113408626	1	0.999876543907988
T_3_rawcount	0.027968009333209	0.0292530158005775	0.0255351868864911	0.967022294816044	0.974015779357127	0.968575968146457	0.998501428012078	0.999876543907988	1
