Mock_1_fpkm	Mock_2_fpkm	Mock_3_fpkm	NT_1_fpkm	NT_2_fpkm	NT_3_fpkm	T_1_fpkm	T_2_fpkm	T_3_fpkm
Mock_1_fpkm	1	0.85742538637138	0.0533156182983573	0.785166584894604	0.727524429033382	0.706673406905421	0.854934034211587	0.170776987254627	0.465781045365502
Mock_2_fpkm	0.85742538637138	1	0.0492890884459071	0.389342759910371	0.307091070480329	0.273446842577968	0.493586276091417	0.0819446751796338	0.32801808129071
Mock_3_fpkm	0.0533156182983573	0.0492890884459071	1	0.0394213547814182	0.0354015121570196	0.0336513872131375	0.0430087531918948	0.982537575959706	0.662517597446731
NT_1_fpkm	0.785166584894604	0.389342759910371	0.0394213547814182	1	0.985329353837194	0.97786978822874	0.980103113922944	0.216722519227152	0.461739507933547
NT_2_fpkm	0.727524429033382	0.307091070480329	0.0354015121570196	0.985329353837194	1	0.989809330624879	0.965668125694928	0.217039370013938	0.445439169545363
NT_3_fpkm	0.706673406905421	0.273446842577968	0.0336513872131375	0.97786978822874	0.989809330624879	1	0.955621920930693	0.216864238108486	0.442226146527908
T_1_fpkm	0.854934034211587	0.493586276091417	0.0430087531918948	0.980103113922944	0.965668125694928	0.955621920930693	1	0.215092427660605	0.479097149047521
T_2_fpkm	0.170776987254627	0.0819446751796338	0.982537575959706	0.216722519227152	0.217039370013938	0.216864238108486	0.215092427660605	1	0.725908915047292
T_3_fpkm	0.465781045365502	0.32801808129071	0.662517597446731	0.461739507933547	0.445439169545363	0.442226146527908	0.479097149047521	0.725908915047292	1
