Mock_1_readcount	Mock_2_readcount	Mock_3_readcount	NT_1_readcount	NT_2_readcount	NT_3_readcount	T_1_readcount	T_2_readcount	T_3_readcount
Mock_1_readcount	1	0.948403517231946	0.976531907495458	0.0141070828364617	0.0119373175240814	0.0112345446375146	0.0534565199695348	0.0279347630390966	0.0273882265001968
Mock_2_readcount	0.948403517231946	1	0.883118335475326	0.0155540525265185	0.0127962178152831	0.0125089768790133	0.0551152597622984	0.0292147456334836	0.0287314775018858
Mock_3_readcount	0.976531907495458	0.883118335475326	1	0.0125406980988133	0.0107801022862901	0.00992859354505705	0.0490426447524793	0.0253960819668105	0.0248970115143912
NT_1_readcount	0.0141070828364617	0.0155540525265185	0.0125406980988133	1	0.999382130653838	0.999895498748846	0.976526052544089	0.969056850055758	0.967062262472655
NT_2_readcount	0.0119373175240814	0.0127962178152831	0.0107801022862901	0.999382130653838	1	0.999576727634388	0.982113098656806	0.975987389669093	0.974061018285523
NT_3_readcount	0.0112345446375146	0.0125089768790133	0.00992859354505705	0.999895498748846	0.999576727634388	1	0.977755280647401	0.970604900439835	0.968646054096249
T_1_readcount	0.0534565199695348	0.0551152597622984	0.0490426447524793	0.976526052544089	0.982113098656806	0.977755280647401	1	0.99878016786556	0.99850452608638
T_2_readcount	0.0279347630390966	0.0292147456334836	0.0253960819668105	0.969056850055758	0.975987389669093	0.970604900439835	0.99878016786556	1	0.999879006080603
T_3_readcount	0.0273882265001968	0.0287314775018858	0.0248970115143912	0.967062262472655	0.974061018285523	0.968646054096249	0.99850452608638	0.999879006080603	1
