GOID1	GOID2	CommonNum
GO:0022904	GO:0052548	3
GO:0006091	GO:0006457	5
GO:0006091	GO:1902600	26
GO:0006091	GO:2001233	12
GO:0006091	GO:2001242	8
GO:0006091	GO:0031647	4
GO:0006091	GO:0097190	14
GO:0006091	GO:0006120	23
GO:0006091	GO:0030162	11
GO:0006091	GO:2001234	11
GO:0006091	GO:0007005	32
GO:0006091	GO:0050821	4
GO:0006091	GO:0072594	4
GO:0006091	GO:0042255	2
GO:0006091	GO:0010498	5
GO:0006091	GO:2001243	8
GO:0006091	GO:0042176	6
GO:0006091	GO:0052547	8
GO:0006091	GO:0052548	7
GO:0006457	GO:1902600	1
GO:0006457	GO:2001233	10
GO:0006457	GO:2001242	8
GO:0006457	GO:0031647	20
GO:0006457	GO:0097190	11
GO:0006457	GO:0030162	8
GO:0006457	GO:2001234	8
GO:0006457	GO:0007005	5
GO:0006457	GO:0050821	19
GO:0006457	GO:0072594	15
GO:0006457	GO:0010498	10
GO:0006457	GO:2001243	7
GO:0006457	GO:0042176	7
GO:0006457	GO:0052547	3
GO:0006457	GO:0052548	2
GO:1902600	GO:2001233	4
GO:1902600	GO:2001242	3
GO:1902600	GO:0031647	1
GO:1902600	GO:0097190	4
GO:1902600	GO:0006120	3
GO:1902600	GO:0030162	1
GO:1902600	GO:2001234	3
GO:1902600	GO:0007005	7
GO:1902600	GO:0050821	1
GO:1902600	GO:0010498	1
GO:1902600	GO:2001243	2
GO:1902600	GO:0042176	1
GO:1902600	GO:0052547	1
GO:1902600	GO:0052548	1
GO:2001233	GO:2001242	44
GO:2001233	GO:0031647	12
GO:2001233	GO:0097190	72
GO:2001233	GO:0006120	2
GO:2001233	GO:0030162	22
GO:2001233	GO:2001234	49
GO:2001233	GO:0007005	20
GO:2001233	GO:0050821	10
GO:2001233	GO:0072594	11
GO:2001233	GO:0010498	17
GO:2001233	GO:2001243	28
GO:2001233	GO:0042176	15
GO:2001233	GO:0052547	15
GO:2001233	GO:0052548	14
GO:2001242	GO:0031647	9
GO:2001242	GO:0097190	44
GO:2001242	GO:0006120	2
GO:2001242	GO:0030162	18
GO:2001242	GO:2001234	28
GO:2001242	GO:0007005	11
GO:2001242	GO:0050821	8
GO:2001242	GO:0072594	8
GO:2001242	GO:0010498	13
GO:2001242	GO:2001243	28
GO:2001242	GO:0042176	12
GO:2001242	GO:0052547	13
GO:2001242	GO:0052548	12
GO:0031647	GO:0097190	14
GO:0031647	GO:0006120	2
GO:0031647	GO:0030162	19
GO:0031647	GO:2001234	9
GO:0031647	GO:0007005	11
GO:0031647	GO:0050821	48
GO:0031647	GO:0072594	20
GO:0031647	GO:0042255	3
GO:0031647	GO:0010498	19
GO:0031647	GO:2001243	7
GO:0031647	GO:0042176	22
GO:0031647	GO:0052547	6
GO:0031647	GO:0052548	4
GO:0097190	GO:0006120	2
GO:0097190	GO:0030162	30
GO:0097190	GO:2001234	49
GO:0097190	GO:0007005	26
GO:0097190	GO:0050821	12
GO:0097190	GO:0072594	15
GO:0097190	GO:0010498	18
GO:0097190	GO:2001243	28
GO:0097190	GO:0042176	17
GO:0097190	GO:0052547	21
GO:0097190	GO:0052548	20
GO:0006120	GO:0030162	2
GO:0006120	GO:2001234	2
GO:0006120	GO:0007005	19
GO:0006120	GO:0050821	2
GO:0006120	GO:0072594	1
GO:0006120	GO:0010498	2
GO:0006120	GO:2001243	2
GO:0006120	GO:0042176	2
GO:0006120	GO:0052547	2
GO:0006120	GO:0052548	1
GO:0030162	GO:2001234	15
GO:0030162	GO:0007005	18
GO:0030162	GO:0050821	14
GO:0030162	GO:0072594	12
GO:0030162	GO:0042255	2
GO:0030162	GO:0010498	45
GO:0030162	GO:2001243	11
GO:0030162	GO:0042176	54
GO:0030162	GO:0052547	64
GO:0030162	GO:0052548	60
GO:2001234	GO:0007005	17
GO:2001234	GO:0050821	7
GO:2001234	GO:0072594	8
GO:2001234	GO:0010498	13
GO:2001234	GO:2001243	28
GO:2001234	GO:0042176	10
GO:2001234	GO:0052547	11
GO:2001234	GO:0052548	10
GO:0007005	GO:0050821	7
GO:0007005	GO:0072594	29
GO:0007005	GO:0010498	8
GO:0007005	GO:2001243	8
GO:0007005	GO:0042176	13
GO:0007005	GO:0052547	13
GO:0007005	GO:0052548	12
GO:0050821	GO:0072594	17
GO:0050821	GO:0042255	3
GO:0050821	GO:0010498	13
GO:0050821	GO:2001243	6
GO:0050821	GO:0042176	16
GO:0050821	GO:0052547	4
GO:0050821	GO:0052548	2
GO:0072594	GO:0010498	9
GO:0072594	GO:2001243	7
GO:0072594	GO:0042176	13
GO:0072594	GO:0052547	7
GO:0072594	GO:0052548	6
GO:0042255	GO:0010498	1
GO:0042255	GO:0042176	2
GO:0010498	GO:2001243	9
GO:0010498	GO:0042176	46
GO:0010498	GO:0052547	12
GO:0010498	GO:0052548	11
GO:2001243	GO:0042176	7
GO:2001243	GO:0052547	9
GO:2001243	GO:0052548	8
GO:0042176	GO:0052547	16
GO:0042176	GO:0052548	14
GO:0052547	GO:0052548	60
