Mock_mean_up	NT_mean_up	T_mean_up	Check_Mock_NT_up	Check_Mock_T_up	Checkreverse
ENSG00000095587	-1.08040546925072	0.893109261215404	0.187296208035316	1	1	1
ENSG00000095951	-1.07939619294125	0.894913374855374	0.184482818085875	1	1	1
ENSG00000096654	-1.09038157449776	0.87428198509051	0.216099589407249	1	1	1
ENSG00000099260	-1.15426245641775	0.549587875501786	0.604674580915964	1	1	0
ENSG00000099377	-1.00572818651752	0.0115565407693406	0.994171645748176	1	1	0
ENSG00000100027	-1.13166289045134	0.76458839927127	0.367074491180073	1	1	1
ENSG00000100031	-1.1099459149778	0.279264688900411	0.830681226077394	1	1	0
ENSG00000100100	-1.15289151503951	0.632399898675042	0.520491616364469	1	1	1
ENSG00000100292	-1.13988529772184	0.41026756931436	0.729617728407476	1	1	0
ENSG00000100302	-1.05320565776368	0.936564268337952	0.116641389425731	1	1	1
ENSG00000100314	-1.08933180511251	0.87635425595104	0.212977549161468	1	1	1
ENSG00000100557	-1.11501801140699	0.817414999629184	0.297603011777807	1	1	1
ENSG00000100626	-1.03655629636635	0.0776385183863696	0.958917777979976	1	1	0
ENSG00000100652	-1.12369668140466	0.331675957150084	0.792020724254573	1	1	0
ENSG00000100767	-1.15450787895433	0.558987355935825	0.595520523018509	1	1	0
ENSG00000100814	-1.01768506695812	0.981323039286266	0.036362027671855	1	1	1
ENSG00000100906	-1.15437120608249	0.601067372777502	0.553303833304993	1	1	1
ENSG00000101049	-1.14157305409562	0.721146833053415	0.420426221042205	1	1	1
ENSG00000101115	-1.1544471489295	0.556275179623776	0.598171969305723	1	1	0
ENSG00000101213	-1.1547003554465	0.57678728449398	0.577913070952525	1	1	0
ENSG00000101236	-1.14615193111598	0.451618923360614	0.694533007755365	1	1	0
ENSG00000101265	-1.11222327854576	0.824848562667666	0.287374715878091	1	1	1
ENSG00000101958	-1.14766909255866	0.684024112433225	0.463644980125437	1	1	1
ENSG00000101977	-1.07274995736248	0.906382609324316	0.16636734803816	1	1	1
ENSG00000102387	-1.10670472614377	0.838665326058634	0.268039400085139	1	1	1
ENSG00000103599	-1.10650192988925	0.839153237344698	0.267348692544551	1	1	1
ENSG00000103832	-1.0758622886968	0.901098119471497	0.174764169225306	1	1	1
ENSG00000104381	-1.10915344150711	0.832666602616775	0.276486838890336	1	1	1
ENSG00000104808	-1.10105326260136	0.85179276727713	0.249260495324225	1	1	1
ENSG00000104856	-1.08459088927797	0.885438202352766	0.199152686925201	1	1	1
ENSG00000104883	-0.867802264771545	1.09359001507445	-0.225787750302903	1	1	1
ENSG00000105146	-1.07528094074407	0.173184473227779	0.902096467516289	1	1	0
ENSG00000105261	-1.1512434971311	0.498298998129345	0.652944499001753	1	1	0
ENSG00000105270	-1.15466239678735	0.58545905690457	0.569203339882777	1	1	1
ENSG00000105516	-1.13527792558096	0.384997171936261	0.750280753644703	1	1	0
ENSG00000105523	-1.12453634486257	0.335192178956964	0.789344165905605	1	1	0
ENSG00000105613	-1.15301412018345	0.630533248123017	0.522480872060431	1	1	1
ENSG00000105641	-1.14079874860149	0.725104453053678	0.415694295547815	1	1	1
ENSG00000105642	-1.15469030488072	0.573135062078326	0.581555242802391	1	1	0
ENSG00000105649	-1.09078417714643	0.217303062293399	0.873481114853031	1	1	0
ENSG00000105708	-1.11667294528999	0.812857886170516	0.303815059119477	1	1	1
ENSG00000105737	-1.08520977863036	0.200932820989738	0.884276957640621	1	1	0
ENSG00000105808	-0.299044751441291	1.11540496562304	-0.816360214181751	1	0	1
ENSG00000105877	-1.15428430914504	0.550294431276877	0.603989877868169	1	1	0
ENSG00000105991	-1.13715743265689	0.742229889704515	0.39492754295238	1	1	1
ENSG00000106031	-1.15469523601004	0.574317114450351	0.580378121559685	1	1	0
ENSG00000106258	-0.874704448073259	1.09016850477007	-0.21546405669681	1	1	1
ENSG00000106333	-1.15070977022652	0.658422740080921	0.492287030145595	1	1	1
ENSG00000106479	-1.13247704724018	0.370990468301692	0.761486578938491	1	1	0
ENSG00000106823	-1.14076852600385	0.72525639593505	0.415512130068798	1	1	1
ENSG00000107201	-0.283169094296372	1.11104906327373	-0.827879968977355	1	0	1
ENSG00000107242	-1.00722183784826	0.992618206212554	0.0146036316357026	1	1	1
ENSG00000107611	-1.15455056020325	0.593392133106113	0.561158427097138	1	1	1
ENSG00000107742	-1.12190129928253	0.797600403499414	0.324300895783119	1	1	1
ENSG00000107821	-1.11930606632212	0.313959224893766	0.805346841428349	1	1	0
ENSG00000107864	-1.04591710012374	0.946683773233164	0.0992333268905739	1	1	1
ENSG00000107897	-1.0250465209933	0.972914097014545	0.0521324239787577	1	1	1
ENSG00000107951	-1.10380252213672	0.845525160118601	0.258277362018117	1	1	1
ENSG00000108242	-1.13521308338519	0.750550362258685	0.384662721126504	1	1	1
ENSG00000108255	-1.1520190260749	0.507898407694169	0.644120618380729	1	1	0
ENSG00000108379	-1.1545076496359	0.595531275382787	0.558976374253109	1	1	1
ENSG00000108506	-1.10229322215725	0.848992610362885	0.253300611794366	1	1	1
ENSG00000108515	-1.14292643784907	0.713903972394966	0.429022465454106	1	1	1
ENSG00000108733	-1.1544640375355	0.556993700459907	0.597470337075589	1	1	0
ENSG00000108924	-1.07066153965701	0.909847659466964	0.160813880190042	1	1	1
ENSG00000108932	-1.13015229598768	0.77017817359411	0.359974122393569	1	1	1
ENSG00000108950	-1.14324713363756	0.71212087487884	0.431126258758723	1	1	1
ENSG00000108960	-1.12891613216796	0.774603908056185	0.354312224111771	1	1	1
ENSG00000109063	-1.09858685026199	0.857238549014419	0.241348301247572	1	1	1
ENSG00000109163	-1.10125563998866	0.851338663737737	0.249916976250926	1	1	1
ENSG00000109323	-1.12291302645911	0.794479583452937	0.328433443006173	1	1	1
ENSG00000109819	-1.14780012581557	0.683061197856629	0.464738927958942	1	1	1
ENSG00000109911	-1.13162827545068	0.764718850214477	0.366909425236206	1	1	1
ENSG00000109927	-0.999984217555465	1.00001578169731	-3.15641418495322e-05	1	1	1
ENSG00000110031	-1.03965903964748	0.954952273721378	0.0847067659260982	1	1	1
ENSG00000110169	-1.07791492987356	0.897530404471771	0.180384525401786	1	1	1
ENSG00000110427	-1.15081506301526	0.65737409818508	0.493440964830179	1	1	1
ENSG00000110693	-1.13805268455404	0.738221689093951	0.399830995460092	1	1	1
ENSG00000111181	-1.1531197804293	0.628867432567657	0.524252347861643	1	1	1
ENSG00000111254	-1.06527847082029	0.918497155770857	0.146781315049428	1	1	1
ENSG00000111266	-1.00222241363368	0.997762669321193	0.00445974431248358	1	1	1
ENSG00000111339	-1.08442645766743	0.885745532166533	0.198680925500899	1	1	1
ENSG00000111341	-1.07440926387487	0.903583602778952	0.170825661095923	1	1	1
ENSG00000111729	-0.146493481698515	-0.918672986177523	1.06516646787604	0	1	0
ENSG00000111801	-1.14186802819696	0.719604975069969	0.422263053126994	1	1	1
ENSG00000111816	-1.09907818888132	0.856166475872937	0.242911713008386	1	1	1
ENSG00000111834	-1.15297048217664	0.631205442312517	0.521765039864128	1	1	1
ENSG00000111846	-1.14044039584486	0.72689431079344	0.413546085051417	1	1	1
ENSG00000111850	-1.13655466377913	0.744863351102367	0.391691312676768	1	1	1
ENSG00000112031	-1.09965075871905	0.244741527547489	0.854909231171558	1	1	0
ENSG00000112116	-1.14389747736206	0.708418225979579	0.435479251382486	1	1	1
ENSG00000112246	-1.14873735532889	0.67586678776504	0.472870567563849	1	1	1
ENSG00000112599	-1.12736148089103	0.347365996259185	0.77999548463184	1	1	0
ENSG00000112769	-1.12510503781134	0.7875058261022	0.33759921170914	1	1	1
ENSG00000112981	-1.14407237462571	0.436670751496638	0.707401623129073	1	1	0
ENSG00000113083	-1.15179556345733	0.646786673665283	0.505008889792051	1	1	1
ENSG00000113248	-1.09687165162417	0.860932921634514	0.235938729989654	1	1	1
ENSG00000113369	-1.09195438715868	0.871133636347567	0.22082075081111	1	1	1
ENSG00000113389	-1.09143212136397	0.872184961714247	0.21924715964972	1	1	1
ENSG00000113448	-1.12327558557682	0.793346595243768	0.329928990333047	1	1	1
ENSG00000113924	-1.12311645257172	0.329271602753549	0.793844849818168	1	1	0
ENSG00000114113	-1.1543847527256	0.553806867901575	0.600577884824026	1	1	0
ENSG00000114115	-1.08556706704429	0.883603291182479	0.201963775861807	1	1	1
ENSG00000114204	-1.14092533730404	0.724466016093691	0.416459321210354	1	1	1
ENSG00000114268	-1.14744091045208	0.461762794632037	0.68567811582004	1	1	0
ENSG00000114315	-1.15422818754011	0.548513948387498	0.605714239152612	1	1	0
ENSG00000114378	-1.14488166702254	0.442308299582325	0.702573367440215	1	1	0
ENSG00000114455	-1.1365888298104	0.744715428287007	0.391873401523397	1	1	1
ENSG00000114473	-1.05884800078496	0.130512126132937	0.928335874652026	1	1	0
ENSG00000114541	-1.14691316494408	0.689398999466274	0.457514165477806	1	1	1
ENSG00000114638	-1.06411325327608	0.920318443137747	0.143794810138329	1	1	1
ENSG00000115137	-1.0953947651735	0.864055931266685	0.231338833906812	1	1	1
ENSG00000115423	-0.982661066562161	1.01648091288409	-0.0338198463219318	1	1	1
ENSG00000115461	-1.10745331841369	0.270600608390451	0.836852710023235	1	1	0
ENSG00000115474	-1.11483304359042	0.817916931946893	0.296916111643525	1	1	1
ENSG00000115556	-1.13996198217892	0.729244952455594	0.410717029723324	1	1	1
ENSG00000115850	-1.15119782871113	0.653429945301328	0.497767883409804	1	1	1
ENSG00000116299	-1.14376858063157	0.709161657241402	0.434606923390169	1	1	1
ENSG00000116703	-1.154599719605	0.590514080022961	0.564085639582043	1	1	1
ENSG00000116748	-1.15417985292105	0.607117419418681	0.547062433502372	1	1	1
ENSG00000117000	-1.0802914979565	0.893313852835577	0.18697764512092	1	1	1
ENSG00000117016	-1.15232203415727	0.512009265763923	0.640312768393344	1	1	0
ENSG00000117069	-1.00859399943849	0.991178513254622	0.0174154861838723	1	1	1
ENSG00000117152	-1.13804892815517	0.399810168453201	0.738238759701967	1	1	0
ENSG00000117266	-1.14769163117494	0.463832453679706	0.683859177495237	1	1	0
ENSG00000117281	-0.93276361423982	-0.123078988830679	1.0558426030705	1	1	0
ENSG00000117501	-1.14507212688049	0.443666485257354	0.70140564162314	1	1	0
ENSG00000117507	-1.13997738188823	0.410807421356763	0.729169960531468	1	1	0
ENSG00000117586	-1.11342862098866	0.82168134518443	0.291747275804232	1	1	1
ENSG00000117601	-1.08400480995364	0.886531328288106	0.19747348166553	1	1	1
ENSG00000117707	-1.13108711421309	0.766743594496755	0.36434351971634	1	1	1
ENSG00000118004	-1.15305418718767	0.5231460945705	0.629908092617174	1	1	0
ENSG00000118257	-1.14698595698324	0.688894065412106	0.458091891571135	1	1	1
ENSG00000118298	-1.10441051435842	0.84410945692791	0.260301057430509	1	1	1
ENSG00000118307	-1.12149841467986	0.798826882485921	0.32267153219394	1	1	1
ENSG00000118407	-1.12980300873573	0.771441745213986	0.358361263521741	1	1	1
ENSG00000118412	-1.03477960827108	0.961150293284543	0.0736293149865378	1	1	1
ENSG00000118503	-1.11385923177922	0.29332345352773	0.820535778251488	1	1	0
ENSG00000118513	-1.13911302556645	0.733312844687158	0.405800180879295	1	1	1
ENSG00000118514	-1.15432876200887	0.602538223821516	0.551790538187351	1	1	1
ENSG00000118520	-1.11571925807234	0.815498723264671	0.300220534807667	1	1	1
ENSG00000118557	-1.12867809131273	0.775441685722731	0.353236405589999	1	1	1
ENSG00000118690	-1.0513490934473	0.939194573784798	0.112154519662505	1	1	1
ENSG00000118849	-1.12633236432252	0.783464965203128	0.342867399119395	1	1	1
ENSG00000118976	-1.12157365706546	0.798598516287151	0.32297514077831	1	1	1
ENSG00000118997	-0.834614999606243	1.10836708610824	-0.273752086501999	1	1	1
ENSG00000119138	-1.15349401533998	0.53104506645149	0.622448948888488	1	1	0
ENSG00000119681	-1.10251870927202	0.84847875470753	0.254039954564486	1	1	1
ENSG00000119684	-1.15468958729069	0.581699991900661	0.572989595390028	1	1	1
ENSG00000119698	-1.14314921464655	0.712668210260248	0.430481004386299	1	1	1
ENSG00000119703	-1.15460353343199	0.590263650829728	0.564339882602259	1	1	1
ENSG00000119715	-1.14263819685001	0.715483807436999	0.427154389413014	1	1	1
ENSG00000119950	-1.15118796436891	0.65353436336858	0.497653601000329	1	1	1
ENSG00000119973	-0.936667109307933	1.05313355871992	-0.116466449411988	1	1	1
ENSG00000120093	-1.11905923552607	0.806065255223138	0.312993980302929	1	1	1
ENSG00000120156	-1.02523593135156	0.972692376830406	0.0525435545211526	1	1	1
ENSG00000120215	0.310421151926698	0.807976338050424	-1.11839748997712	1	0	1
ENSG00000120256	1.15294875284094	-0.521411866562165	-0.631536886278772	0	0	1
ENSG00000120262	-1.09807105032004	0.858357325776761	0.23971372454328	1	1	1
ENSG00000120324	-1.15312332202529	0.628810614600522	0.524312707424763	1	1	1
ENSG00000120327	-1.14677466327575	0.690352727168316	0.456421936107435	1	1	1
ENSG00000120328	-1.1440873957138	0.707313883879569	0.436773511834234	1	1	1
ENSG00000120329	-1.13186685715986	0.763817392678328	0.368049464481531	1	1	1
ENSG00000120555	-0.658702738134541	1.15068140448576	-0.491978666351223	1	1	1
ENSG00000120729	-1.12128518003866	0.799472359456172	0.321812820582485	1	1	1
ENSG00000121361	-1.1355651682445	0.749080161332688	0.386485006911816	1	1	1
ENSG00000121380	-1.13128058626285	0.766022868118839	0.365257718144011	1	1	1
ENSG00000121417	-1.13461408004885	0.753016940181044	0.381597139867802	1	1	1
ENSG00000121577	-1.14833579780767	0.679018609941293	0.469317187866381	1	1	1
ENSG00000121764	-1.15186601773236	0.645958060776509	0.505907956955852	1	1	1
ENSG00000121903	-1.13874218207546	0.735050546829664	0.403691635245798	1	1	1
ENSG00000121905	-1.14478714341729	0.70314829322896	0.441638850188334	1	1	1
ENSG00000122432	-1.13921974214818	0.732808475004645	0.40641126714353	1	1	1
ENSG00000122477	-1.14062286109035	0.725986144511656	0.414636716578696	1	1	1
ENSG00000122592	-1.07469897020569	0.90309064026469	0.171608329941002	1	1	1
ENSG00000122728	-1.12437985577402	0.789846368488192	0.334533487285825	1	1	1
ENSG00000122733	-1.13479727278071	0.752267136322323	0.382530136458387	1	1	1
ENSG00000122884	-1.1495774108034	0.668883510932659	0.480693899870744	1	1	1
ENSG00000123095	-1.14986252652137	0.483486593780093	0.666375932741279	1	1	0
ENSG00000123119	-1.15452514241532	0.559833525101528	0.594691617313788	1	1	0
ENSG00000123901	-1.1413146986729	0.722481487551989	0.41883321112091	1	1	1
ENSG00000124134	-1.1521638044713	0.509832934321629	0.642330870149666	1	1	0
ENSG00000124429	-1.14468556488422	0.703762789135437	0.44092277574878	1	1	1
ENSG00000124469	-1.11535692450323	0.81649151876544	0.298865405737785	1	1	1
ENSG00000124508	-1.15415040701025	0.546210523066984	0.60793988394327	1	1	0
ENSG00000124596	-1.11361332553248	0.82119089243468	0.292422433097795	1	1	1
ENSG00000124610	-1.11264738387671	0.288906696658989	0.823740687217716	1	1	0
ENSG00000124701	-1.13614160231665	0.746639260338591	0.389502341978061	1	1	1
ENSG00000124766	-1.14708106153581	0.688230454908621	0.458850606627193	1	1	1
ENSG00000125046	-1.13503067520782	0.75130604670793	0.383724628499891	1	1	1
ENSG00000125355	-1.13787930006476	0.398871946269738	0.739007353795022	1	1	0
ENSG00000125430	-1.13873296768073	0.735093431672583	0.403639536008144	1	1	1
ENSG00000125772	-1.07482236123324	0.902880288537862	0.171942072695381	1	1	1
ENSG00000125848	-1.15466780414446	0.569804190645805	0.584863613498651	1	1	0
ENSG00000126562	-1.13091777797552	0.363546198464878	0.767371579510639	1	1	0
ENSG00000126856	-1.14577290744028	0.696996620233131	0.448776287207151	1	1	1
ENSG00000126860	-1.13311389582236	0.3741000064393	0.759013889383057	1	1	0
ENSG00000127074	-1.1162106230927	0.814143167480289	0.302067455612416	1	1	1
ENSG00000127081	-1.13672814741313	0.744110593327979	0.392617554085148	1	1	1
ENSG00000127362	-1.15469582592922	0.580204866977786	0.57449095895143	1	1	1
ENSG00000127364	-1.15144665781133	0.650742964077693	0.500703693733633	1	1	1
ENSG00000127366	-1.15434969210652	0.60182421217459	0.552525479931932	1	1	1
ENSG00000128045	-0.940100502215773	1.05070357650975	-0.110603074293975	1	1	1
ENSG00000128268	-1.14609516662598	0.694905704820845	0.451189461805137	1	1	1
ENSG00000128482	-0.908867023731977	1.07125646043343	-0.162389436701453	1	1	1
ENSG00000128573	-1.08334797551204	0.887748940570406	0.19559903494163	1	1	1
ENSG00000128606	-1.01093601752318	0.988692880178384	0.0222431373447988	1	1	1
ENSG00000128617	-1.08798172939971	0.878986114471115	0.208995614928599	1	1	1
ENSG00000129048	-1.15403481414186	0.543065443778375	0.610969370363487	1	1	0
ENSG00000129167	-1.10843125901966	0.834456789978938	0.273974469040719	1	1	1
ENSG00000129204	-1.14910056900295	0.47618407212229	0.672916496880657	1	1	0
ENSG00000129437	-1.02459435181298	0.0511520678605538	0.973442283952429	1	1	0
ENSG00000129521	-1.15231049638102	0.511848250534041	0.640462245846983	1	1	0
ENSG00000129595	-1.03220500150159	0.067867488557059	0.964337512944535	1	1	0
ENSG00000130023	-1.09455095852692	0.865816919881235	0.228734038645687	1	1	1
ENSG00000130035	-0.96394665990789	1.03252317114847	-0.0685765112405804	1	1	1
ENSG00000130038	-1.08689413859373	0.881079781897327	0.205814356696402	1	1	1
ENSG00000130052	-1.14654515164002	0.454631683046592	0.691913468593428	1	1	0
ENSG00000130518	-1.15466960754395	0.570015441728643	0.584654165815309	1	1	0
ENSG00000130589	-1.08869068244264	0.877608673245619	0.211082009197017	1	1	1
ENSG00000130649	-0.978405151249918	1.02027933091154	-0.0418741796616172	1	1	1
ENSG00000130775	-1.15365473806446	0.534276705041305	0.619378033023153	1	1	0
ENSG00000130783	-1.15396286043164	0.612720590227175	0.541242270204467	1	1	1
ENSG00000130943	-1.15384916233432	0.615318368884608	0.538530793449711	1	1	1
ENSG00000130958	-1.07761746032401	0.179565836142354	0.898051624181661	1	1	0
ENSG00000131096	-1.05475585815856	0.934339302873102	0.120416555285453	1	1	1
ENSG00000131471	-1.15262990005201	0.636175079741609	0.516454820310401	1	1	1
ENSG00000131845	-1.07990289143245	0.894009786681202	0.185893104751251	1	1	1
ENSG00000131951	-1.07944535327594	0.894825896798303	0.184619456477636	1	1	1
ENSG00000132141	-1.11709338296563	0.811680609203853	0.305412773761779	1	1	1
ENSG00000132535	-1.15208961927746	0.643254421040995	0.508835198236462	1	1	1
ENSG00000132681	-1.03196884227716	0.964627075627484	0.0673417666496797	1	1	1
ENSG00000132718	-1.14869467446436	0.676207087098899	0.472487587365463	1	1	1
ENSG00000133466	-1.13470588951835	0.752641660603584	0.382064228914771	1	1	1
ENSG00000133962	-1.10688113387028	0.838239823625761	0.268641310244521	1	1	1
ENSG00000134007	-1.1386824785978	0.735328165593655	0.403354313004143	1	1	1
ENSG00000134107	-1.12802882269395	0.350324843565161	0.777703979128788	1	1	0
ENSG00000134215	-1.11939885567225	0.805075978141464	0.314322877530781	1	1	1
ENSG00000134245	-1.03878996211122	0.0827182574227485	0.95607170468847	1	1	0
ENSG00000134258	-1.13096279597582	0.767204885933448	0.363757910042373	1	1	1
ENSG00000134489	-1.09776634523339	0.859015061423211	0.238751283810176	1	1	1
ENSG00000134532	-1.14711471466223	0.68799456087107	0.45912015379116	1	1	1
ENSG00000134545	-1.14888504476605	0.674679069783083	0.474205974982966	1	1	1
ENSG00000134548	-1.03206342742194	0.964511157312966	0.0675522701089758	1	1	1
ENSG00000134574	-1.15321102826529	0.525829110011392	0.627381918253897	1	1	0
ENSG00000134955	-1.12892241619157	0.774581729856841	0.35434068633473	1	1	1
ENSG00000134962	-1.15469200104995	0.581191391721666	0.573500609328279	1	1	1
ENSG00000135049	-1.01094384838218	0.988684508426718	0.0222593399554582	1	1	1
