Mock_mean_down	NT_mean_down	T_mean_down	Check_Mock_NT_down	Check_Mock_T_down	Checkreverse
ENSG00000000003	1.15022729071862	-0.66305046793428	-0.487176822784338	1	1	1
ENSG00000001036	1.14764328955702	-0.684212586214214	-0.463430703342803	1	1	1
ENSG00000001084	1.14769770381074	-0.463883014025285	-0.683814689785453	1	1	0
ENSG00000001167	1.13799035299726	-0.738504666981821	-0.399485686015445	1	1	1
ENSG00000001461	1.14817782598515	-0.467948628759858	-0.680229197225297	1	1	0
ENSG00000001497	1.06587882362342	-0.917551879125722	-0.148326944497693	1	1	1
ENSG00000001630	1.15114503983303	-0.497158089160029	-0.653986950672998	1	1	0
ENSG00000002330	1.12490781474445	-0.788145746491728	-0.336762068252726	1	1	1
ENSG00000002549	1.15113903313346	-0.654050054265053	-0.49708897886841	1	1	1
ENSG00000002822	1.06130553058628	-0.924636176187851	-0.136669354398429	1	1	1
ENSG00000002834	1.11975445474442	-0.80403387956507	-0.315720575179347	1	1	1
ENSG00000003056	1.12123128812312	-0.799635097036267	-0.321596191086853	1	1	1
ENSG00000003436	0.941341731249007	-1.04981403337911	0.108472302130106	1	1	1
ENSG00000004059	1.14811083528379	-0.68073780807241	-0.46737302721138	1	1	1
ENSG00000004142	1.12597769096698	-0.784643260245512	-0.341334430721474	1	1	1
ENSG00000004455	1.0476126303388	-0.944378345344927	-0.103234284993874	1	1	1
ENSG00000004478	1.09777877708306	-0.858988271866688	-0.238790505216376	1	1	1
ENSG00000004660	1.1065185364459	-0.839113333046613	-0.267405203399291	1	1	1
ENSG00000004700	1.02670718002428	-0.0557464715524932	-0.970960708471788	1	1	0
ENSG00000004779	1.15443713801666	-0.598576723795891	-0.555860414220767	1	1	1
ENSG00000004866	1.14679411525069	-0.456574786975487	-0.690219328275204	1	1	0
ENSG00000004961	1.1538352048562	-0.615624708052683	-0.538210496803521	1	1	1
ENSG00000005007	1.12901356282482	-0.77425968656083	-0.354753876263991	1	1	1
