ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0009615;response to virus;5/10;260/12502;8,66377380542704e-07;0,000178473740391797;0,000106701214235259;TPT1/IFIT2/IFI44L/IFIT1/DDX60;5
BP;GO:0051607;defense response to virus;4/10;185/12502;9,09259538064562e-06;0,000624358216137666;0,000373274968258083;IFIT2/IFI44L/IFIT1/DDX60;4
BP;GO:0140546;defense response to symbiont;4/10;185/12502;9,09259538064562e-06;0,000624358216137666;0,000373274968258083;IFIT2/IFI44L/IFIT1/DDX60;4
