PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
Mock_1	-101.831479451409	135.988629666422	16.9938803604923	-2.80520369553551	2.70451661871543	-1.59872349588593	8.29960405248344	-113.335220184097	-1.27470720358e-11
Mock_2	-164.109066843469	28.1393104688965	6.12560870544683	-0.891766799344187	-17.7124703704497	-9.64307621940415	112.162071953379	57.7080499070447	-5.81837934214574e-13
Mock_3	-115.297682217368	129.070939210584	12.6200539623005	-0.663080457817464	12.4937403057728	6.53029422922893	-101.870375097395	63.8596010560562	-6.98934005153897e-12
NT_1	-20.8417998490833	-101.141309510528	-97.3247527018389	-0.141351251612837	-124.940819181355	-0.0686891377095257	-29.7042380904184	-12.8212154082451	3.05312638639639e-12
NT_2	-30.0093567064708	-133.046633641446	-30.4034809932255	-2.71440192447631	81.5339329802057	-113.859016270525	-15.545838527722	-9.27523527316185	3.0921094675156e-12
NT_3	-26.2529500349034	-121.713160365047	-24.8938085600018	7.9076785631152	70.9573081715643	126.043754099249	0.388067541891247	-8.35032363667028	2.76478713324334e-12
T_1	236.74501348836	134.513785214514	-97.0757066365705	-15.1141946562149	25.9688474553469	-1.77019836162074	27.7957838177024	16.3970766102447	5.17785648532344e-12
T_2	104.821273261957	-49.5100538057248	117.652508037049	-126.206337066346	-27.0125520491272	2.05723060500675	-2.40175156931211	2.83068332010704	2.05307095897511e-12
T_3	116.776048352379	-22.3015072376805	96.3056978263487	140.628657288234	-23.9925039306774	-7.69157544833976	0.876675919387072	2.98658360871692	4.23209221466312e-12
