Mock_1	Mock_2	Mock_3	NT_1	NT_2	NT_3	T_1	T_2	T_3
Mock_1	1	0.947656856117698	0.976740178197665	0.0146354898528911	0.0124175929355101	0.0116862502827913	0.0541790710768125	0.0285014422392295	0.0279682788108885
Mock_2	0.947656856117698	1	0.882397485289338	0.0160383292276395	0.013214229038294	0.0128969506634303	0.0557643410008327	0.0297168438055221	0.0292532466204267
Mock_3	0.976740178197665	0.882397485289338	1	0.0131225848846864	0.0113178343297361	0.0104409348034453	0.0498370882067361	0.0260223933596445	0.0255354905557887
NT_1	0.0146354898528911	0.0160383292276395	0.0131225848846864	1	0.999384448294691	0.999898932351473	0.976485535914945	0.969033605088787	0.967022292858379
NT_2	0.0124175929355101	0.013214229038294	0.0113178343297361	0.999384448294691	1	0.999563030877969	0.982065141632945	0.975958856671644	0.97401577959553
NT_3	0.0116862502827913	0.0128969506634303	0.0104409348034453	0.999898932351473	0.999563030877969	1	0.97768544452855	0.970545203230918	0.96857597139646
T_1	0.0541790710768125	0.0557643410008327	0.0498370882067361	0.976485535914945	0.982065141632945	0.97768544452855	1	0.998777115456351	0.998501431647685
T_2	0.0285014422392295	0.0297168438055221	0.0260223933596445	0.969033605088787	0.975958856671644	0.970545203230918	0.998777115456351	1	0.999876544112038
T_3	0.0279682788108885	0.0292532466204267	0.0255354905557887	0.967022292858379	0.97401577959553	0.96857597139646	0.998501431647685	0.999876544112038	1
